Date,Open,High,Low,Close,Volume,Quote Volume
2017-11-30,5.72,8.43,5.55,7.72,74298821,553596056.81
2017-12-01,7.72,8.58,7.31,8.54,136078750,1068462417.84
2017-12-02,8.54,8.95,8.35,8.54,103099756,893985237.43
2017-12-03,8.54,9.02,8.1,8.58,92113102,787688121.01
2017-12-04,8.58,9.33,8.18,8.88,20485972,174243916.92
2017-12-05,8.88,8.94,8.18,8.32,13246281,112484052.86
2017-12-06,8.32,8.91,7.43,7.69,17682590,142475392.13
2017-12-07,7.69,8.87,6.69,6.8,16220195,122771189.91
2017-12-08,6.8,7.94,6.45,6.49,5706726,39146768.77
2017-12-09,6.49,6.49,6.49,6.49,0,0
2017-12-10,6.49,6.49,6.49,6.49,0,0
2017-12-11,6.49,6.49,6.48,6.48,0,0
2017-12-12,6.48,6.5,6.48,6.5,0,0
2017-12-13,6.5,6.5,6.48,6.48,0,0
2017-12-14,6.48,6.48,6.47,6.47,0,0
2017-12-15,6.47,6.47,6.45,6.45,0,0
2017-12-16,6.45,6.45,6.45,6.45,0,0
2017-12-17,6.45,6.45,6.45,6.45,0,0
2017-12-18,6.45,6.46,6.45,6.46,0,0
2017-12-19,6.46,6.46,6.45,6.45,0,0
2017-12-20,6.45,6.45,6.44,6.44,0,0
2017-12-21,6.44,6.44,6.44,6.44,0,0
2017-12-22,6.44,6.44,6.44,6.44,0,0
2017-12-23,6.44,6.44,6.44,6.44,0,0
2017-12-24,6.44,6.44,6.44,6.44,0,0
2017-12-25,6.44,6.44,6.44,6.44,0,0
2017-12-26,6.44,6.45,6.44,6.45,0,0
2017-12-27,6.45,6.46,6.45,6.46,0,0
2017-12-28,6.46,6.46,6.45,6.45,0,0
2017-12-29,6.45,6.45,6.43,6.43,0,0
2017-12-30,6.43,6.43,6.43,6.43,0,0
2017-12-31,6.43,6.43,6.43,6.43,0,0
2018-01-01,6.43,6.43,6.43,6.43,0,0
2018-01-02,6.43,6.43,6.39,6.39,0,0
2018-01-03,6.39,6.39,6.39,6.39,0,0
2018-01-04,6.39,6.39,6.38,6.38,0,0
2018-01-05,6.38,6.38,6.37,6.37,0,0
2018-01-06,6.37,6.37,6.37,6.37,0,0
2018-01-07,6.37,6.37,6.37,6.37,0,0
2018-01-08,6.37,6.39,6.37,6.39,0,0
2018-01-09,6.39,6.41,6.39,6.41,0,0
2018-01-10,6.41,6.42,6.41,6.42,0,0
2018-01-11,6.42,6.42,6.41,6.41,0,0
2018-01-12,6.41,6.41,6.4,6.4,0,0
2018-01-13,6.4,6.4,6.4,6.4,0,0
2018-01-14,6.4,6.4,6.4,6.4,0,0
2018-01-15,6.4,6.4,6.4,6.4,0,0
2018-01-16,6.4,6.44,6.4,6.44,0,0
2018-01-17,6.44,6.44,6.43,6.43,0,0
2018-01-18,6.43,6.43,6.43,6.43,0,0
2018-01-19,6.43,6.43,6.43,6.43,0,0
2018-01-20,6.43,6.43,6.43,6.43,0,0
2018-01-21,6.43,6.43,6.43,6.43,0,0
2018-01-22,6.43,6.43,6.43,6.43,0,0
2018-01-23,6.43,6.43,6.42,6.42,0,0
2018-01-24,6.42,6.42,6.4,6.4,0,0
2018-01-25,6.4,6.4,6.4,6.4,0,0
2018-01-26,6.4,6.4,6.4,6.4,0,0
2018-01-27,6.4,6.4,6.4,6.4,0,0
2018-01-28,6.4,6.4,6.4,6.4,0,0
2018-01-29,6.4,6.41,6.4,6.41,0,0
2018-01-30,6.41,6.42,6.41,6.42,0,0
2018-01-31,6.42,6.42,6.41,6.41,0,0
2018-02-01,6.41,6.43,6.41,6.43,0,0
2018-02-02,6.43,6.46,6.43,6.46,0,0
2018-02-03,6.46,6.46,6.46,6.46,0,0
2018-02-04,6.46,6.46,6.46,6.46,0,0
2018-02-05,6.46,6.48,6.46,6.48,0,0
2018-02-06,6.48,6.48,6.45,6.45,0,0
2018-02-07,6.45,6.46,6.45,6.46,0,0
2018-02-08,6.46,6.49,6.46,6.49,0,0
2018-02-09,6.49,6.49,6.47,6.47,0,0
2018-02-10,6.47,6.47,6.47,6.47,0,0
2018-02-11,6.47,6.47,6.47,6.47,0,0
2018-02-12,6.47,6.47,6.47,6.47,0,0
2018-02-13,6.47,6.47,6.47,6.47,0,0
2018-02-14,6.47,6.47,6.45,6.45,0,0
2018-02-15,6.45,6.45,6.43,6.43,0,0
2018-02-16,6.43,6.48,6.43,6.48,0,0
2018-02-17,6.48,6.48,6.48,6.48,0,0
2018-02-18,6.48,6.48,6.48,6.48,0,0
2018-02-19,6.48,6.49,6.48,6.49,0,0
2018-02-20,6.49,6.53,6.49,6.53,0,0
2018-02-21,6.53,6.53,6.53,6.53,0,0
2018-02-22,6.53,6.54,6.53,6.54,0,0
2018-02-23,6.54,6.54,6.53,6.53,0,0
2018-02-24,6.53,6.53,6.53,6.53,0,0
2018-02-25,6.53,6.53,6.52,6.52,0,0
2018-02-26,6.52,24.86,6.52,21.96,639200,14292440.22
2018-02-27,21.96,22.97,21.0,21.98,5713400,125104935.62
2018-02-28,21.98,22.75,20.21,20.32,2463400,52070890.64
2018-03-01,20.32,22.01,19.13,21.09,2672100,54068321.55
2018-03-02,21.09,22.24,19.77,20.45,1904600,39294616.47
2018-03-03,20.45,21.21,20.16,20.82,1060200,22078897.53
2018-03-04,20.82,21.4,20.04,21.37,775400,15870883.47
2018-03-05,21.37,22.17,20.54,20.76,1357000,28691481.54
2018-03-06,20.76,20.76,19.22,19.71,706200,14076840.8
2018-03-07,19.71,20.38,16.8,17.56,1626400,29164755.06
2018-03-08,17.56,18.09,15.53,16.12,1945200,32077334.65
2018-03-09,16.12,16.22,13.58,15.56,4280400,63246129.49
2018-03-10,15.56,16.36,14.12,14.4,1030200,15780354.11
2018-03-11,14.4,16.11,13.93,15.41,925200,13660314.14
2018-03-12,15.41,16.8,14.16,15.64,1619400,24551286.55
2018-03-13,15.64,15.93,14.02,15.09,2704600,41437555.27
2018-03-14,15.09,15.93,13.43,13.9,1143200,16929469.11
2018-03-15,13.9,14.22,12.38,12.68,1903600,24865303.87
2018-03-16,12.68,13.1,12.09,12.53,1845000,23325609.01
2018-03-17,12.53,12.67,11.07,11.07,3179400,37552811.9
2018-03-18,11.07,11.69,9.34,11.26,12118400,120020222.4
2018-03-19,11.26,13.36,11.04,13.32,5031400,60496542.65
2018-03-20,13.32,14.85,11.85,14.07,3009600,39415315.29
2018-03-21,14.07,15.36,13.11,13.43,4461800,63784242.83
2018-03-22,13.43,14.31,12.42,13.67,1882800,25321682.66
2018-03-23,13.67,13.89,12.23,12.92,3762400,48771513.95
2018-03-24,12.92,14.27,12.43,12.9,1918400,25085434.65
2018-03-25,12.9,13.34,12.35,12.52,2197200,28822236.91
2018-03-26,12.52,12.77,10.46,11.49,2080800,24015901.94
2018-03-27,11.49,11.56,10.38,10.65,1767400,19173265.54
2018-03-28,10.65,11.52,10.33,11.03,2151400,23624228.33
2018-03-29,11.03,11.08,9.65,9.99,2205200,22823851.6
2018-03-30,9.99,10.39,9.13,9.99,2500200,24563444.49
2018-03-31,9.99,11.06,9.78,10.52,1440200,14974838.77
2018-04-01,10.52,11.31,9.54,9.85,4268000,42464835.96
2018-04-02,9.85,10.64,9.85,10.53,743600,7691267.19
2018-04-03,10.53,11.79,10.43,11.73,2231600,24920870.78
2018-04-04,11.73,12.17,9.99,10.17,4499000,50477169.04
2018-04-05,10.17,10.34,9.48,10.18,1938200,19026668.77
2018-04-06,10.18,10.19,9.45,9.81,1164000,11424667.02
2018-04-07,9.81,10.52,9.79,10.11,1991600,20250677.02
2018-04-08,10.11,10.84,10.08,10.59,784400,8189659.56
2018-04-09,10.59,11.28,9.99,10.32,1626600,17205040.63
2018-04-10,10.32,10.97,10.09,10.7,1333600,13846421.69
2018-04-11,10.7,11.61,10.29,11.58,2139600,23703014.14
2018-04-12,11.58,15.18,11.3,15.18,8952800,116852613.2
2018-04-13,15.18,15.52,13.06,13.78,3786800,55409314.16
2018-04-14,13.78,14.65,13.43,14.1,2001800,27919180.68
2018-04-15,14.1,15.67,14.1,15.5,2072600,30838731.73
2018-04-16,15.5,17.18,14.37,16.92,10121400,163090646.82
2018-04-17,16.92,18.13,15.89,16.16,75244493.24,1286528635.57
2018-04-18,16.16,17.51,16.13,17.37,50791550.03,854368623.28
2018-04-19,17.37,18.22,17.18,17.95,94795598.48,1685266822.85
2018-04-20,17.95,20.17,17.59,19.92,128668736.66,2428296509.0
2018-04-21,19.92,20.15,17.61,18.99,147662949.97,2800714762.0
2018-04-22,18.99,19.67,18.39,18.61,91962454.2,1746779221.54
2018-04-23,18.61,19.24,18.57,19.12,66464487.11,1261808199.77
2018-04-24,19.12,21.21,18.99,20.42,163088782.06,3301795625.37
2018-04-25,20.42,20.66,16.94,17.92,175570290.34,3287536844.86
2018-04-26,17.92,19.68,17.13,19.63,186657960.34,3494673248.79
2018-04-27,19.63,20.61,19.09,19.24,394050621.46,7765291117.22
2018-04-28,19.24,24.19,19.03,23.77,665636081.97,14633591450.82
2018-04-29,23.77,25.76,22.93,24.23,649802566.42,15886158345.86
2018-04-30,24.23,24.27,22.36,22.86,459142032.63,10677230702.24
2018-05-01,22.86,24.26,21.43,23.81,498038426.41,11407221520.37
2018-05-02,23.81,25.12,23.15,24.84,375288617.87,9102070666.46
2018-05-03,24.84,26.01,24.43,24.53,408430068.7,10213843438.31
2018-05-04,24.53,24.73,23.23,23.96,257939741.26,6221666372.24
2018-05-05,23.96,24.81,23.95,24.34,220063496.13,5354002482.61
2018-05-06,24.34,24.34,22.62,23.39,261389324.77,6099731943.76
2018-05-07,23.39,23.49,21.66,22.64,318169219.3,7092576619.01
2018-05-08,22.64,23.54,21.73,22.14,258837777.04,5836385376.93
2018-05-09,22.14,22.25,20.37,21.84,334660317.86,7171831066.19
2018-05-10,21.84,22.37,19.93,20.06,250475237.41,5358835008.19
2018-05-11,20.06,20.27,16.64,17.67,637796204.21,11678007264.33
2018-05-12,17.67,19.3,16.26,18.42,574470061.48,10296695042.31
2018-05-13,18.42,19.75,17.96,19.44,410728241.21,7740130272.64
2018-05-14,19.44,19.53,17.65,18.55,378309282.76,7022744868.51
2018-05-15,18.55,19.15,17.45,17.82,234845629.43,4358644613.13
2018-05-16,17.82,17.96,16.49,17.45,281769039.32,4787880224.22
2018-05-17,17.45,17.86,16.49,16.59,226004167.51,3897307505.19
2018-05-18,16.59,16.86,15.98,16.81,208498202.81,3425160491.41
2018-05-19,16.81,16.95,16.26,16.57,150261444.75,2499724475.34
2018-05-20,16.57,17.72,16.41,17.4,239468847.41,4070663819.5
2018-05-21,17.4,17.89,16.86,17.03,223330271.56,3878480559.97
2018-05-22,17.03,17.14,15.29,15.33,221704871.99,3597200259.95
