Date,Open,High,Low,Close,Volume,Quote Volume
2020-07-24,63.69,270.51,63.58,224.14,5441.59,1235502.65
2020-07-25,224.14,225.81,211.09,219.28,793099.88,173297595.58
2020-07-26,219.28,219.83,192.83,206.02,1417684.1,299505955.34
2020-07-27,206.02,219.64,200.18,215.08,1799524.64,377728319.68
2020-07-28,215.08,215.38,179.9,195.37,1266554.04,255477247.49
2020-07-29,195.37,275.74,182.64,266.34,680421.09,148638087.77
2020-07-30,266.34,278.7,181.07,181.07,775660.79,191176202.75
2020-07-31,181.07,219.4,171.56,174.33,405046.63,80446208.08
2020-08-01,174.33,432.64,162.87,224.69,1285211.44,298271379.35
2020-08-02,224.69,230.19,223.72,228.24,2761728.02,623063462.25
2020-08-03,228.24,230.95,201.69,210.0,1246122.04,266140093.21
2020-08-04,210.0,215.99,206.99,214.62,1238969.78,261717400.58
2020-08-05,214.62,227.73,209.83,225.7,403068.43,87692056.74
2020-08-06,225.7,227.32,187.25,219.25,280458.66,59222393.17
2020-08-07,219.25,230.29,179.51,201.59,407766.77,88004743.43
2020-08-08,201.59,254.73,191.64,216.51,608759.31,130636058.64
2020-08-09,216.51,253.17,197.93,214.62,668297.66,147329261.72
2020-08-10,214.62,284.76,212.03,244.24,562302.05,128030669.37
2020-08-11,244.24,332.81,225.49,271.25,533560.0,136029755.22
2020-08-12,271.25,353.71,241.92,353.19,374677.36,108179293.33
2020-08-13,353.19,362.6,289.13,352.04,585576.44,188508655.89
2020-08-14,352.04,379.7,349.48,372.38,839167.69,309411605.25
2020-08-15,372.38,388.23,349.07,353.88,551307.85,199393782.19
2020-08-16,353.88,425.38,349.67,391.28,677336.72,256723681.21
2020-08-17,391.28,398.71,365.47,380.29,752681.05,285790300.35
2020-08-18,380.29,385.41,362.85,366.71,338270.09,126343899.6
2020-08-19,366.71,452.51,363.19,450.92,344265.93,130698603.0
2020-08-20,450.92,452.7,363.79,377.94,120781.83,51295242.0
2020-08-21,377.94,445.36,363.56,436.07,254493.17,110314486.01
2020-08-22,436.07,449.91,396.11,440.85,192708.9,83385212.44
2020-08-23,440.85,453.6,425.94,436.37,177187.22,78124560.84
2020-08-24,436.37,454.19,413.74,439.09,224872.2,98726755.67
2020-08-25,439.09,496.02,436.0,481.35,324125.88,146581605.08
2020-08-26,481.35,693.69,380.44,489.54,156740.97,76438351.96
2020-08-27,489.54,502.13,376.3,377.59,245158.46,116336561.86
2020-08-28,377.59,469.26,373.0,427.77,142583.79,63510193.07
2020-08-29,427.77,431.12,391.51,406.56,186584.57,77479343.71
2020-08-30,406.56,497.71,390.06,484.39,242953.7,107635922.68
2020-08-31,484.39,498.4,423.16,432.89,268220.97,123868547.43
2020-09-01,432.89,519.47,408.25,475.1,436536.55,188638124.4
2020-09-02,475.1,492.01,162.69,375.24,577434.51,245684598.29
