Date,Open,High,Low,Close,Volume,Quote Volume
2017-07-14,7.11,8.17,5.19,5.51,12156463,81965044.3
2017-07-15,5.51,5.61,4.16,4.88,3610651,18120160.81
2017-07-16,4.88,5.46,4.67,4.85,2209705,11234515.8
2017-07-17,4.85,5.95,4.8,5.8,2134023,11298719.81
2017-07-18,5.8,6.54,5.51,5.56,2836072,17223960.97
2017-07-19,5.56,7.61,5.55,6.96,3423055,23695750.63
2017-07-20,6.96,8.05,6.39,7.61,4890707,36369484.32
2017-07-21,7.61,7.72,6.97,7.18,2502820,18264701.32
2017-07-22,7.18,7.96,7.06,7.65,2839625,21165008.99
2017-07-23,7.65,7.81,7.15,7.7,5852736,43992801.26
2017-07-24,7.7,7.76,7.42,7.51,1473381,11118766.33
2017-07-25,7.51,7.57,6.51,6.83,1367307,9591468.12
2017-07-26,6.83,7.0,6.38,6.78,1894398,12831011.96
2017-07-27,6.78,7.01,6.4,6.94,3161484,21185759.85
2017-07-28,6.94,7.05,6.5,6.71,3196047,21531819.91
2017-07-29,6.71,7.16,6.43,6.88,3192619,21941555.49
2017-07-30,6.88,6.96,6.63,6.87,2081786,14151911.58
2017-07-31,6.87,6.96,6.5,6.71,2236189,14925782.59
2017-08-01,6.71,6.84,6.23,6.41,3018287,19567495.49
2017-08-02,6.41,6.49,6.2,6.41,2587926,16450234.2
2017-08-03,6.41,6.87,6.31,6.82,2825982,18393866.38
2017-08-04,6.82,6.84,6.65,6.67,528309,3562596.3
2017-08-05,6.67,6.67,6.67,6.67,0,0
2017-08-06,6.67,6.67,6.66,6.66,0,0
2017-08-07,6.66,6.68,6.66,6.68,0,0
2017-08-08,6.68,6.68,6.67,6.67,0,0
2017-08-09,6.67,17.22,6.67,16.53,5260410,82021694.57
2017-08-10,16.53,23.38,16.14,23.38,9112962,178614723.68
2017-08-11,23.38,26.18,20.72,25.16,11021833,253219549.67
2017-08-12,25.16,29.69,21.49,28.37,8992219,241128886.9
2017-08-13,28.37,31.91,28.25,30.55,1266071,38445579.41
2017-08-14,30.55,30.6,30.55,30.6,0,0
2017-08-15,30.6,30.64,30.6,30.64,0,0
2017-08-16,30.64,30.64,30.53,30.53,0,0
2017-08-17,30.53,30.6,30.53,30.6,0,0
2017-08-18,30.6,30.6,30.55,30.55,0,0
2017-08-19,30.55,30.55,30.55,30.55,0,0
2017-08-20,30.55,30.55,30.55,30.55,0,0
2017-08-21,30.55,30.59,30.55,30.59,0,0
2017-08-22,30.59,30.59,30.54,30.54,0,0
2017-08-23,30.54,30.54,30.52,30.52,0,0
2017-08-24,30.52,30.53,30.52,30.53,0,0
2017-08-25,30.53,30.53,30.44,30.44,0,0
2017-08-26,30.44,30.51,30.44,30.51,0,0
2017-08-27,30.51,30.51,30.51,30.51,0,0
2017-08-28,30.51,30.51,30.41,30.41,0,0
2017-08-29,30.41,30.51,30.41,30.51,0,0
2017-08-30,30.51,30.51,30.5,30.5,0,0
2017-08-31,30.5,30.5,30.47,30.47,0,0
2017-09-01,30.47,30.47,30.42,30.42,0,0
2017-09-02,30.42,30.43,30.42,30.43,0,0
2017-09-03,30.43,30.52,30.43,30.52,0,0
2017-09-04,30.52,30.53,30.52,30.53,0,0
2017-09-05,30.53,30.56,30.53,30.56,0,0
2017-09-06,30.56,30.56,30.52,30.52,0,0
2017-09-07,30.52,30.52,30.49,30.49,0,0
2017-09-08,30.49,30.49,30.48,30.48,0,0
2017-09-09,30.48,30.48,30.48,30.48,0,0
2017-09-10,30.48,30.48,30.48,30.48,0,0
2017-09-11,30.48,30.5,30.48,30.5,0,0
2017-09-12,30.5,30.51,30.5,30.51,0,0
2017-09-13,30.51,30.57,30.51,30.57,0,0
2017-09-14,30.57,30.59,30.57,30.59,0,0
2017-09-15,30.59,30.59,30.58,30.58,0,0
2017-09-16,30.58,30.58,30.58,30.58,0,0
2017-09-17,30.58,30.58,30.57,30.57,0,0
2017-09-18,30.57,30.62,30.57,30.62,0,0
2017-09-19,30.62,30.66,30.62,30.66,0,0
2017-09-20,30.66,30.66,30.65,30.65,0,0
2017-09-21,30.65,30.9,30.65,30.9,0,0
2017-09-22,30.9,30.94,30.9,30.94,0,0
2017-09-23,30.94,30.94,30.94,30.94,0,0
2017-09-24,30.94,30.94,30.94,30.94,0,0
2017-09-25,30.94,31.12,30.94,31.12,0,0
2017-09-26,31.12,31.15,31.12,31.15,0,0
2017-09-27,31.15,31.24,31.15,31.24,0,0
2017-09-28,31.24,31.24,31.16,31.16,0,0
2017-09-29,31.16,31.16,31.13,31.13,0,0
2017-09-30,31.13,31.13,31.13,31.13,0,0
2017-10-01,31.13,31.13,31.13,31.13,0,0
2017-10-02,31.13,31.26,31.13,31.26,0,0
2017-10-03,31.26,31.26,31.2,31.2,0,0
2017-10-04,31.2,31.2,31.0,31.0,0,0
2017-10-05,31.0,31.09,31.0,31.09,0,0
2017-10-06,31.09,31.18,31.09,31.18,0,0
2017-10-07,31.18,31.18,31.18,31.18,0,0
2017-10-08,31.18,31.19,31.18,31.19,0,0
2017-10-09,31.19,31.19,31.19,31.19,0,0
2017-10-10,31.19,31.19,31.1,31.1,0,0
2017-10-11,31.1,31.1,31.08,31.08,0,0
2017-10-12,31.08,31.08,31.01,31.01,0,0
2017-10-13,31.01,31.01,30.83,30.83,0,0
2017-10-14,30.83,30.83,30.83,30.83,0,0
2017-10-15,30.83,30.83,30.83,30.83,0,0
2017-10-16,30.83,30.84,30.83,30.84,0,0
2017-10-17,30.84,30.96,30.84,30.96,0,0
2017-10-18,30.96,31.01,30.96,31.01,0,0
2017-10-19,31.01,31.01,30.94,30.94,0,0
2017-10-20,30.94,31.04,30.94,31.04,0,0
2017-10-21,31.04,31.04,31.04,31.04,0,0
2017-10-22,31.04,31.04,31.04,31.04,0,0
2017-10-23,31.04,31.04,31.01,31.01,0,0
2017-10-24,31.01,31.03,31.01,31.03,0,0
2017-10-25,31.03,31.03,30.91,30.91,0,0
2017-10-26,30.91,30.97,30.91,30.97,0,0
2017-10-27,30.97,30.97,30.93,30.93,0,0
2017-10-28,30.93,30.93,30.93,30.93,0,0
2017-10-29,30.93,30.97,30.93,30.97,0,0
2017-10-30,30.97,30.97,30.91,30.91,0,0
2017-10-31,30.91,30.91,30.83,30.83,0,0
2017-11-01,30.83,30.83,30.78,30.78,0,0
2017-11-02,30.78,30.78,30.75,30.75,0,0
2017-11-03,30.75,30.84,30.75,30.84,0,0
2017-11-04,30.84,30.84,30.84,30.84,0,0
2017-11-05,30.84,30.84,30.84,30.84,0,0
2017-11-06,30.84,110.3,30.79,101.79,120615.34,12477431.22
2017-11-07,101.79,117.82,99.66,117.51,134129.73,14731154.76
2017-11-08,117.51,130.71,115.13,130.13,347290.26,43128505.08
2017-11-09,130.13,143.74,123.97,129.95,287037.2,38219236.52
2017-11-10,129.95,132.86,104.39,112.25,484658.9,58231104.75
2017-11-11,112.25,126.34,103.67,108.97,258838.37,29718783.59
2017-11-12,108.97,112.75,88.94,97.64,457159.72,46352378.15
2017-11-13,97.64,114.12,97.64,111.0,166770.73,18007982.21
2017-11-14,111.0,114.55,102.2,105.14,177246.45,18914388.03
2017-11-15,105.14,108.03,97.85,101.58,297638.34,30308451.43
2017-11-16,101.58,109.2,99.48,100.23,198029.66,20603572.19
2017-11-17,100.23,101.79,96.69,97.75,419446.58,41505494.38
2017-11-18,97.75,108.39,97.06,108.39,172099.86,17576996.62
2017-11-19,108.39,110.05,101.99,103.38,179701.62,19099295.57
2017-11-20,103.38,106.86,101.22,106.01,159737.16,16620474.23
2017-11-21,106.01,106.14,98.18,100.83,413447.37,41896125.38
2017-11-22,100.83,105.06,99.72,104.66,196457.62,20115782.3
2017-11-23,104.66,104.73,98.82,100.88,184458.49,18632118.91
2017-11-24,100.88,116.75,98.86,110.59,644218.58,69515763.84
2017-11-25,110.59,125.42,106.68,120.2,475443.08,54688164.22
2017-11-26,120.2,123.17,113.01,117.96,193666.26,23098646.76
2017-11-27,117.96,125.64,111.78,125.4,480695.73,56184434.6
2017-11-28,125.4,125.46,115.21,123.16,359515.94,43252387.92
2017-11-29,123.16,130.36,99.06,112.97,935739.25,110782500.26
2017-11-30,112.97,131.57,111.25,126.38,748118.06,91652626.44
2017-12-01,126.38,139.22,124.15,133.35,321456.28,42202907.25
2017-12-02,133.35,137.56,127.47,133.57,241150.68,32029313.43
2017-12-03,133.57,153.82,131.43,145.55,346006.6,49060143.13
2017-12-04,145.55,166.89,145.21,164.5,384958.49,60853616.85
2017-12-05,164.5,177.42,161.56,168.13,428655.47,72562738.86
2017-12-06,168.13,180.87,151.89,164.16,379335.63,62978809.06
2017-12-07,164.16,188.35,159.64,174.42,533510.45,93065375.11
2017-12-08,174.42,185.93,147.85,181.11,649804.35,108754062.04
2017-12-09,181.11,182.05,141.91,171.42,477826.16,77807227.28
2017-12-10,171.42,172.57,139.6,159.4,562267.17,88636795.84
2017-12-11,159.4,182.19,158.23,174.1,381605.55,65508693.55
2017-12-12,174.1,179.31,161.11,168.16,541865.92,92721309.5
2017-12-13,168.16,180.61,152.37,175.3,702146.43,118798353.19
2017-12-14,175.3,203.74,174.6,203.43,998488.09,188837357.82
2017-12-15,203.43,283.88,197.52,264.75,919574.18,213407189.62
2017-12-16,264.75,303.29,247.19,298.68,775606.79,213975176.25
2017-12-17,298.68,428.78,295.41,383.02,1555662.04,571815631.34
2017-12-18,383.02,392.37,306.11,384.61,1430171.07,507912338.86
2017-12-19,384.61,413.84,342.32,370.0,1784870.53,672312462.17
2017-12-20,370.0,370.0,306.87,327.8,1397302.05,465328212.33
2017-12-21,327.8,361.41,278.4,329.0,996548.76,320039667.98
2017-12-22,329.0,331.52,210.84,281.47,1599471.66,432148117.52
2017-12-23,281.47,327.53,273.82,289.77,964500.62,292523863.77
2017-12-24,289.77,345.01,256.89,339.91,1047106.95,313591426.76
2017-12-25,339.91,446.03,328.27,418.55,1480881.6,580855392.21
2017-12-26,418.55,696.32,410.26,595.4,3081660.72,1671312928.71
2017-12-27,595.4,728.78,535.12,653.92,2851073.22,1808895067.78
2017-12-28,653.92,660.46,518.21,605.31,2593236.47,1447113002.64
2017-12-29,605.31,620.13,547.08,566.29,1401565.33,818349570.54
2017-12-30,566.29,566.29,459.42,495.49,1648305.01,838074252.51
2017-12-31,495.49,593.27,490.45,557.72,1289214.15,697210999.23
2018-01-01,557.72,569.49,514.21,545.19,654338.84,354433102.41
2018-01-02,545.19,601.28,522.85,566.56,1262633.42,698506688.22
2018-01-03,566.56,607.86,534.4,596.97,947392.65,534326702.1
2018-01-04,596.97,605.81,555.02,589.48,964494.94,561220877.72
2018-01-05,589.48,1070.34,577.56,951.31,2764977.04,2242275468.68
2018-01-06,951.31,1500.91,934.72,1439.03,3130487.22,3630173871.61
2018-01-07,1439.03,1514.42,1149.15,1178.26,1543764.49,1991016300.36
2018-01-08,1178.26,1227.92,879.27,1154.67,2112065.22,2285925584.47
2018-01-09,1154.67,1325.53,1052.31,1119.33,1309277.95,1536980390.12
2018-01-10,1119.33,1138.92,951.05,1121.17,1172651.15,1213595416.59
2018-01-11,1121.17,1605.54,881.24,1524.48,3542366.83,4583058986.68
2018-01-12,1524.48,1774.23,1381.97,1573.55,2902338.37,4601767178.29
2018-01-13,1573.55,1681.7,1397.12,1442.58,1080455.71,1669129712.79
2018-01-14,1442.58,1481.69,1182.6,1314.79,1384083.33,1774102310.67
2018-01-15,1314.79,1486.34,1219.86,1235.18,2288556.77,3073472347.33
2018-01-16,1235.18,1250.78,647.46,873.44,9933431.45,9135468875.99
2018-01-17,873.44,1021.89,610.22,920.08,9971697.17,7969571246.15
2018-01-18,920.08,1046.52,862.73,927.96,6699252.37,6431232541.74
2018-01-19,927.96,1087.99,889.72,971.62,3004070.17,2882650993.61
2018-01-20,971.62,1075.74,965.18,1047.65,2617140.33,2681846098.28
2018-01-21,1047.65,1053.54,847.63,913.73,3318363.34,3085165755.26
2018-01-22,913.73,934.36,752.0,834.74,2873190.83,2419718141.05
2018-01-23,834.74,893.62,748.83,840.54,2335831.96,1933199753.03
2018-01-24,840.54,916.75,809.1,882.08,1947186.76,1683155953.48
2018-01-25,882.08,946.49,826.61,841.83,1427643.05,1239510160.54
2018-01-26,841.83,869.27,771.26,838.88,1788845.56,1463736319.22
2018-01-27,838.88,891.96,819.92,848.58,992878.39,837218326.75
2018-01-28,848.58,871.47,838.73,859.19,1377401.9,1180531929.68
2018-01-29,859.19,871.81,806.29,809.29,857953.21,713806633.58
2018-01-30,809.29,814.09,695.87,718.03,1322539.56,1004866508.65
2018-01-31,718.03,723.05,663.66,710.22,947115.48,659061449.03
2018-02-01,710.22,725.73,537.14,595.38,2169016.01,1343353150.94
2018-02-02,595.38,675.15,444.5,619.87,4023356.31,2299739595.41
2018-02-03,619.87,670.81,544.57,620.18,2348921.72,1437622885.46
2018-02-04,620.18,650.13,511.68,532.43,2015678.77,1146857657.82
2018-02-05,532.43,545.83,385.04,426.92,3127797.46,1449197540.79
2018-02-06,426.92,554.59,347.92,530.07,6158895.87,2768383791.16
2018-02-07,530.07,600.12,469.19,517.74,4409292.58,2381822328.59
2018-02-08,517.74,540.93,517.74,533.64,91986.49,48937213.16
2018-02-09,533.64,652.88,531.74,634.84,2406640.35,1460378313.37
2018-02-10,634.84,668.89,565.92,594.67,3349144.7,2074076050.71
2018-02-11,594.67,604.17,516.72,557.55,3021732.48,1704548036.01
2018-02-12,557.55,614.36,557.55,600.49,1912462.38,1132323075.79
2018-02-13,600.49,601.37,562.67,591.55,1365850.96,793549846.47
2018-02-14,591.55,685.25,575.47,667.57,2568177.67,1596461431.58
2018-02-15,667.57,726.33,645.45,696.85,4236021.22,2915367551.35
