Date,Open,High,Low,Close,Volume,Quote Volume
2010-07-17,2.32,2.33,2.32,2.33,20,46.54
2010-07-18,2.33,4.03,2.33,4.03,75.01,239.31
2010-07-19,4.03,4.38,3.63,3.81,574,2339.15
2010-07-20,3.81,3.87,3.5,3.53,262,973.56
2010-07-21,3.53,3.75,3.13,3.74,575,1993.3
2010-07-22,3.74,3.82,2.57,2.57,2160,6113.28
2010-07-23,2.57,3.19,2.37,2.93,2402.5,6618.58
2010-07-24,2.93,2.93,2.38,2.56,496.32,1254.09
2010-07-25,2.56,2.79,2.37,2.37,1551.48,3991.24
2010-07-26,2.37,2.63,2.35,2.63,877,2205.45
2010-07-27,2.63,2.84,2.53,2.79,3373.69,9161.06
2010-07-28,2.79,2.9,2.51,2.75,4390.29,11957.23
2010-07-29,2.75,3.27,2.66,3.25,8058.49,24585.06
2010-07-30,3.25,3.25,2.78,2.91,3020.85,9208.53
2010-07-31,2.91,3.2,2.6,3.15,4022.25,11317.08
2010-08-01,3.15,3.15,2.78,2.84,2601,7546.86
2010-08-02,2.84,2.94,2.77,2.77,3599,10204.62
2010-08-03,2.77,3.0,2.72,2.77,9821.46,27962.73
2010-08-04,2.77,2.87,2.64,2.64,3494,9715.26
2010-08-05,2.64,2.81,2.64,2.81,5034.07,14004.77
2010-08-06,2.81,2.88,2.8,2.87,1395,3957.55
2010-08-07,2.87,2.87,2.72,2.72,2619,7253.75
2010-08-08,2.72,2.81,2.72,2.81,2201,6112.93
2010-08-09,2.81,3.39,2.74,3.26,13631.09,40895.43
2010-08-10,3.26,3.29,3.07,3.25,1310.39,4120.85
2010-08-11,3.25,3.52,2.78,3.12,14061.18,47354.36
2010-08-12,3.12,3.27,2.86,3.27,2062.31,6288.34
2010-08-13,3.27,3.27,3.01,3.01,3591.77,10916.74
2010-08-14,3.01,3.23,3.01,3.13,4404.2,13795.06
2010-08-15,3.13,3.13,3.04,3.05,4462.87,13778.28
2010-08-16,3.05,3.17,2.91,3.06,10731.47,32569.14
2010-08-17,3.06,3.57,2.91,3.26,13185.74,42640.77
2010-08-18,3.26,3.42,3.12,3.16,2953.97,9482.54
2010-08-19,3.16,3.16,3.1,3.1,741.12,2322.41
2010-08-20,3.1,3.1,3.01,3.04,4199.75,12808.51
2010-08-21,3.04,3.11,2.98,3.1,10443.86,32128.5
2010-08-22,3.1,3.1,2.86,3.08,18648.97,55232.83
2010-08-23,3.08,3.12,2.99,3.03,4297.49,13141.13
2010-08-24,3.03,3.12,3.03,3.05,6711.76,20854.77
2010-08-25,3.05,3.12,3.01,3.04,4228.88,13077.61
2010-08-26,3.04,3.09,3.0,3.0,3870.01,11778.21
2010-08-27,3.0,3.05,2.95,3.05,9009.97,27344.85
2010-08-28,3.05,3.05,3.02,3.03,6174.01,18712.34
2010-08-29,3.03,3.03,3.0,3.0,3173.4,9597.37
2010-08-30,3.0,3.17,1.5,3.05,34193.14,100138.46
2010-08-31,3.05,3.06,2.81,2.82,14886.91,43899.32
2010-09-01,2.82,2.96,2.79,2.94,7164.72,20426.56
2010-09-02,2.94,2.97,2.81,2.96,8150.73,23292.55
2010-09-03,2.96,2.96,2.83,2.83,892,2544.02
2010-09-04,2.83,2.91,2.83,2.9,3301,9418.54
2010-09-05,2.9,2.95,2.82,2.87,8459.24,24584.92
2010-09-06,2.87,2.92,2.87,2.87,910,2611.93
2010-09-07,2.87,2.9,2.81,2.86,3457.19,9941.17
2010-09-08,2.86,2.87,2.84,2.85,2345.41,6678.28
2010-09-09,2.85,2.91,2.84,2.84,1733.5,4998.0
2010-09-10,2.84,2.87,2.78,2.86,4939.79,13963.05
2010-09-11,2.86,2.98,2.86,2.95,7749.14,22732.28
2010-09-12,2.95,2.95,2.85,2.85,793.88,2267.1
2010-09-13,2.85,2.97,2.81,2.88,10076.34,29291.25
2010-09-14,2.88,8.11,2.82,2.87,14014.81,40594.59
2010-09-15,2.87,2.89,2.8,2.8,3651.85,10332.37
2010-09-16,2.8,2.86,2.79,2.85,730,2083.49
2010-09-17,2.85,2.85,2.74,2.74,7262,20126.17
2010-09-18,2.74,2.8,2.64,2.8,7092.61,19610.49
2010-09-19,2.8,2.87,2.75,2.87,12852.17,36555.11
2010-09-20,2.87,2.91,2.83,2.84,14307.94,40717.48
2010-09-21,2.84,2.89,2.83,2.86,5735.95,16416.25
2010-09-22,2.86,2.86,2.8,2.83,11560.4,32692.12
2010-09-23,2.83,2.87,2.81,2.84,15505.33,44200.15
2010-09-24,2.84,2.84,2.81,2.81,684.38,1927.78
2010-09-25,2.81,2.82,2.79,2.8,2152.5,6016.7
2010-09-26,2.8,2.82,2.8,2.8,12058.12,33834.42
2010-09-27,2.8,2.82,2.79,2.8,10752.25,30081.87
2010-09-28,2.8,2.83,2.78,2.79,7086.15,19799.06
2010-09-29,2.79,2.8,2.76,2.78,23475.64,65095.93
2010-09-30,2.78,2.78,2.76,2.77,7917.02,21859.48
2010-10-01,2.77,2.78,2.75,2.75,1717.45,4732.16
2010-10-02,2.75,2.75,2.72,2.73,13059.74,35662.09
2010-10-03,2.73,2.73,2.71,2.72,7172.63,19547.37
2010-10-04,2.72,2.76,2.7,2.73,33995.37,92662.89
2010-10-05,2.73,2.81,2.72,2.74,27526.61,75703.31
2010-10-06,2.74,2.83,2.72,2.78,33433.3,92699.6
2010-10-07,2.78,2.97,2.78,2.96,43692.98,124465.9
2010-10-08,2.96,3.9,0.44,3.71,139287.29,478440.54
2010-10-09,3.71,5.32,3.1,4.15,187846.95,713118.49
2010-10-10,4.15,5.76,3.54,4.27,50684.19,216498.76
2010-10-11,4.27,4.46,4.03,4.22,14092.91,61981.72
2010-10-12,4.22,4.39,3.69,4.23,25660.75,106893.95
2010-10-13,4.23,4.68,4.09,4.66,47557.26,202438.83
2010-10-14,4.66,4.66,3.0,4.5,37217.28,163267.34
2010-10-15,4.5,5.17,4.19,4.63,24643.33,112758.07
2010-10-16,4.63,4.64,4.41,4.46,6284.71,27976.2
2010-10-17,4.46,4.61,4.42,4.5,18222.19,82026.03
2010-10-18,4.5,4.57,4.4,4.54,25665.09,114869.8
2010-10-19,4.54,4.55,4.3,4.31,6235.1,27683.49
2010-10-20,4.31,4.57,4.16,4.39,31855,142706.88
2010-10-21,4.39,4.74,4.3,4.74,44867,204581.34
2010-10-22,4.74,4.86,4.5,4.62,34603.91,163291.18
2010-10-23,4.62,4.86,4.62,4.68,4423.47,21455.06
2010-10-24,4.68,8.47,4.68,5.12,13800.23,69536.73
2010-10-25,5.12,8.47,4.0,5.86,30299.63,197484.79
2010-10-26,5.86,8.02,5.86,6.69,19219.12,133413.76
2010-10-27,6.69,8.46,6.69,8.35,65605.87,515916.17
2010-10-28,8.35,8.46,7.69,7.69,21525.03,178215.25
2010-10-29,7.69,8.44,7.68,8.44,28686.85,238907.12
2010-10-30,8.44,8.83,8.32,8.83,26708.94,226826.66
2010-10-31,8.83,8.83,8.39,8.54,40337.76,347401.91
2010-11-01,8.54,8.66,7.76,8.66,21258.61,179852.67
2010-11-02,8.66,8.66,8.43,8.57,5853.39,49599.9
2010-11-03,8.57,11.97,5.75,8.56,61472.63,521835.44
2010-11-04,8.56,10.46,8.52,10.15,29698.43,274819.77
2010-11-05,10.15,11.49,9.24,11.46,36622.07,385293.57
2010-11-06,11.46,22.04,10.57,17.19,32756.13,414135.74
2010-11-07,17.19,20.71,12.6,14.98,77218.72,1231250.81
2010-11-08,14.98,16.33,10.68,10.78,118203.83,1701156.11
2010-11-09,10.78,14.33,8.87,9.56,47983.39,567866.26
2010-11-10,9.56,10.47,6.22,10.31,30387.03,270658.05
2010-11-11,10.31,10.67,9.3,9.92,5031.88,49439.39
2010-11-12,9.92,12.51,9.92,12.0,40720.39,469465.58
2010-11-13,12.0,13.44,12.0,12.37,21915.57,284568.01
2010-11-14,12.37,13.4,12.11,12.5,16844.33,214775.7
2010-11-15,12.5,12.76,12.02,12.1,8507.74,105460.01
2010-11-16,12.1,12.49,10.11,10.18,33931.01,391029.14
2010-11-17,10.18,12.98,9.57,10.52,32871.6,391729.99
2010-11-18,10.52,12.75,10.04,12.1,37446.67,463454.09
2010-11-19,12.1,12.69,12.1,12.55,2157.56,26438.62
2010-11-20,12.55,13.16,12.16,12.84,14652.69,186852.67
2010-11-21,12.84,12.84,12.53,12.55,765,9647.35
2010-11-22,12.55,12.94,12.2,12.94,28205.85,355358.15
2010-11-23,12.94,12.99,12.54,12.91,4856.92,62126.66
2010-11-24,12.91,12.93,12.6,12.93,2514.91,32460.9
2010-11-25,12.93,12.93,12.67,12.77,1679.6,21427.16
2010-11-26,12.77,13.14,12.59,13.04,33531.88,435973.81
2010-11-27,13.04,13.04,12.95,12.97,1825.39,23649.87
2010-11-28,12.97,13.05,12.38,12.38,20802.13,263423.05
2010-11-29,12.38,12.8,10.14,10.55,35055.4,403912.35
2010-11-30,10.55,10.56,9.36,9.56,21476.25,209882.43
2010-12-01,9.56,10.47,9.43,10.3,8157.89,79390.16
2010-12-02,10.3,11.55,9.85,11.53,20312.23,216996.63
2010-12-03,11.53,11.54,10.94,11.31,2570.34,28540.61
2010-12-04,11.31,11.67,9.23,9.25,28560.72,300961.41
2010-12-05,9.25,10.58,8.57,9.0,5740.18,53127.52
2010-12-06,9.0,10.15,8.27,9.16,4319.26,38759.11
2010-12-07,9.16,11.1,7.6,10.42,24592.92,241849.17
2010-12-08,10.42,10.82,9.83,10.77,3430.41,35608.01
2010-12-09,10.77,10.79,7.67,9.04,21336.33,199367.55
2010-12-10,9.04,9.22,8.22,9.19,1684.25,14786.66
2010-12-11,9.19,10.27,8.59,10.27,5788.69,57092.19
2010-12-12,10.27,10.27,9.32,9.9,1963.56,18868.69
2010-12-13,9.9,10.38,9.46,10.38,6415.59,64349.78
2010-12-14,10.38,11.14,9.48,11.09,10388.1,108050.54
2010-12-15,11.09,11.19,10.7,10.85,3684.68,40867.43
2010-12-16,10.85,11.44,10.08,11.36,14355.33,160121.36
2010-12-17,11.36,11.36,10.87,10.87,525.51,5896.65
2010-12-18,10.87,11.29,10.87,10.94,169.11,1891.04
2010-12-19,10.94,11.34,10.89,10.9,2000.76,22122.87
2010-12-20,10.9,12.3,10.89,12.12,10682.7,125762.02
2010-12-21,12.12,12.12,10.85,10.85,9225.79,103628.32
2010-12-22,10.85,11.3,10.82,11.27,3800.46,42793.28
2010-12-23,11.27,11.28,10.87,11.28,8650.15,97470.26
2010-12-24,11.28,11.28,10.93,11.19,5033.25,56487.02
2010-12-25,11.19,11.28,11.17,11.27,703,7915.45
2010-12-26,11.27,12.17,11.12,11.92,16584.97,189629.35
2010-12-27,11.92,12.21,11.32,11.98,4935.49,57428.62
2010-12-28,11.98,12.69,11.76,12.63,15438.71,190876.53
2010-12-29,12.63,13.55,12.19,13.49,18609.14,241309.27
2010-12-30,13.49,13.5,13.06,13.47,2539.87,34113.42
2010-12-31,13.47,13.47,13.05,13.41,1453.72,19148.33
2011-01-01,13.41,13.41,13.04,13.4,2821.24,37604.58
2011-01-02,13.4,13.4,13.1,13.4,5352.11,70776.83
2011-01-03,13.4,13.4,12.94,13.16,1425.19,18781.33
2011-01-04,13.16,13.5,12.9,13.46,1879.0,24682.26
2011-01-05,13.46,13.56,13.06,13.56,357.16,4818.1
2011-01-06,13.56,13.57,13.13,13.49,3456.49,46685.8
2011-01-07,13.49,14.59,13.48,14.52,42601.12,596795.74
2011-01-08,14.52,14.65,14.0,14.63,1629.44,23205.23
2011-01-09,14.63,14.64,14.63,14.64,1691.37,24752.75
2011-01-10,14.64,14.95,14.39,14.84,10355.83,152739.12
2011-01-11,14.84,14.84,14.33,14.74,4857.8,71249.25
2011-01-12,14.74,16.05,14.33,14.36,31359.76,473475.5
2011-01-13,14.36,18.27,14.31,14.33,20118.9,322456.25
2011-01-14,14.33,18.76,14.33,18.17,27130.96,485703.9
2011-01-15,18.17,18.18,17.49,17.54,1515.66,26862.26
2011-01-16,17.54,18.18,17.54,17.58,2778.71,49310.33
2011-01-17,17.58,17.61,14.31,15.91,18241.15,289531.18
2011-01-18,15.91,15.91,13.99,14.22,15671.51,224878.11
2011-01-19,14.22,14.23,13.85,14.23,7291.63,102194.0
2011-01-20,14.23,17.82,14.09,17.82,19881.98,315286.79
2011-01-21,17.82,20.11,16.78,19.15,8477.55,152855.5
2011-01-22,19.15,20.26,17.79,20.26,10534.27,205924.29
2011-01-23,20.26,20.27,19.16,20.18,1148.4,23075.78
2011-01-24,20.18,20.18,17.77,19.13,11061.94,205821.17
2011-01-25,19.13,19.45,18.25,18.76,2163.72,41245.81
2011-01-26,18.76,19.22,17.81,18.94,15564.81,288054.35
2011-01-27,18.94,20.54,18.63,19.23,27708.19,551721.03
2011-01-28,19.23,20.44,19.23,20.44,5324.5,105465.38
2011-01-29,20.44,20.45,19.7,20.13,1448.38,29518.73
2011-01-30,20.13,22.01,20.13,22.01,10383.59,219031.13
2011-01-31,22.01,43.62,21.56,24.32,63516.08,1501793.87
2011-02-01,24.32,38.76,24.15,32.19,31562.12,1062787.17
2011-02-02,32.19,34.72,31.44,32.62,5627.48,187999.11
2011-02-03,32.62,34.18,29.95,31.62,8524.5,276649.92
2011-02-04,31.62,38.78,30.56,36.99,42222.19,1549112.12
2011-02-05,36.99,41.83,36.99,41.66,15786.81,622083.43
2011-02-06,41.66,41.98,38.34,40.99,8744.11,347163.0
2011-02-07,40.99,41.06,38.01,40.41,2264.28,88528.22
2011-02-08,40.41,41.69,38.98,41.53,7021.29,285304.31
2011-02-09,41.53,49.53,37.09,49.53,49632.5,2156586.82
