Date,Open,High,Low,Close,Volume,Quote Volume
2014-06-17,0.03,0.03,0.02,0.02,20000,568.98
2014-06-18,0.02,0.03,0.02,0.02,6000,131.87
2014-06-19,0.02,0.02,0.02,0.02,1000,21.85
2014-06-20,0.02,0.03,0.02,0.03,18000,463.23
2014-06-21,0.03,0.03,0.02,0.02,32000,741.15
2014-06-22,0.02,0.02,0.02,0.02,160000,3392.45
2014-06-23,0.02,0.02,0.02,0.02,0,0
2014-06-24,0.02,0.02,0.02,0.02,95000,2266.43
2014-06-25,0.02,0.03,0.02,0.03,1323000,22975.1
2014-06-26,0.03,0.03,0.02,0.02,1000,16.27
2014-06-27,0.02,0.02,0.02,0.02,58000,989.87
2014-06-28,0.02,0.02,0.02,0.02,0,0
2014-06-29,0.02,0.02,0.02,0.02,2000,33.13
2014-06-30,0.02,0.02,0.02,0.02,0,0
2014-07-01,0.02,0.02,0.02,0.02,1000000,16647.81
2014-07-02,0.02,0.02,0.02,0.02,2000,34.36
2014-07-03,0.02,0.02,0.01,0.01,25000,353.11
2014-07-04,0.01,0.01,0.01,0.01,20000,265.69
2014-07-05,0.01,0.01,0.01,0.01,2154000,21142.5
2014-07-06,0.01,0.01,0.01,0.01,0,0
2014-07-07,0.01,0.01,0.01,0.01,1000,11.48
2014-07-08,0.01,0.02,0.01,0.01,102000,1415.99
2014-07-09,0.01,0.01,0.01,0.01,0,0
2014-07-10,0.01,0.01,0.01,0.01,0,0
2014-07-11,0.01,0.01,0.01,0.01,0,0
2014-07-12,0.01,0.01,0.01,0.01,0,0
2014-07-13,0.01,0.02,0.01,0.02,3000,50.99
2014-07-14,0.02,0.02,0.02,0.02,2000,33.68
2014-07-15,0.02,0.02,0.02,0.02,0,0
2014-07-16,0.02,0.02,0.02,0.02,2000,32.37
2014-07-17,0.02,0.02,0.02,0.02,0,0
2014-07-18,0.02,0.02,0.02,0.02,0,0
2014-07-19,0.02,0.02,0.02,0.02,0,0
2014-07-20,0.02,0.02,0.02,0.02,0,0
2014-07-21,0.02,0.02,0.02,0.02,0,0
2014-07-22,0.02,0.02,0.02,0.02,1000,15.46
2014-07-23,0.02,0.02,0.02,0.02,0,0
2014-07-24,0.02,0.02,0.01,0.01,5000,65.78
2014-07-25,0.01,0.01,0.01,0.01,0,0
2014-07-26,0.01,0.01,0.01,0.01,2000,27.97
2014-07-27,0.01,0.01,0.01,0.01,0,0
2014-07-28,0.01,0.01,0.01,0.01,0,0
2014-07-29,0.01,0.01,0.01,0.01,2000,22.36
2014-07-30,0.01,0.01,0.01,0.01,1000,10.11
2014-07-31,0.01,0.01,0.01,0.01,1000,11.48
2014-08-01,0.01,0.01,0.01,0.01,2000,24.3
2014-08-02,0.01,0.01,0.01,0.01,0,0
2014-08-03,0.01,0.01,0.01,0.01,0,0
2014-08-04,0.01,0.01,0.01,0.01,0,0
2014-08-05,0.01,0.01,0.01,0.01,0,0
2014-08-06,0.01,0.01,0.01,0.01,0,0
2014-08-07,0.01,0.01,0.01,0.01,0,0
2014-08-08,0.01,0.01,0.01,0.01,603000,7045.44
2014-08-09,0.01,0.01,0.01,0.01,27000,271.36
2014-08-10,0.01,0.01,0.01,0.01,122271000,949969.85
2014-08-11,0.01,0.01,0.01,0.01,1000,10.51
2014-08-12,0.01,0.01,0.01,0.01,51000,526.36
