Date,Open,High,Low,Close,Volume,Quote Volume
2015-08-07,1780.97,1781.28,136.35,176.24,48807.55,9141053.28
2015-08-08,176.24,185.85,43.64,57.7,413131.24,32115709.75
2015-08-09,57.7,65.67,41.29,44.89,407000.56,19399716.49
2015-08-10,44.89,48.13,37.49,45.28,560367.18,24107848.8
2015-08-11,45.28,73.91,42.02,69.16,1439568.67,80721820.0
2015-08-12,69.16,86.95,51.44,78.57,1630432.96,120776172.73
2015-08-13,78.57,136.44,75.08,119.12,2050859.66,210238774.8
2015-08-14,119.12,153.04,113.95,118.35,1760581.82,231518127.52
2015-08-15,118.35,126.91,100.18,109.02,785113.54,87881151.66
2015-08-16,109.02,112.25,70.03,103.98,1499400.16,132762361.27
2015-08-17,103.98,104.97,76.49,79.21,767840.28,67504372.44
2015-08-18,79.21,87.99,64.81,74.9,921287.28,73774278.43
2015-08-19,74.9,88.03,70.76,81.33,659695.12,54079581.2
2015-08-20,81.33,102.58,80.05,96.83,1240718.58,112346025.15
2015-08-21,96.83,111.37,88.22,91.62,823032.0,81123355.95
2015-08-22,91.62,102.12,89.06,90.86,396765.41,37197282.73
2015-08-23,90.86,96.2,85.58,89.18,767787.44,69211094.12
2015-08-24,89.18,95.31,81.45,82.39,380188.38,33165184.63
2015-08-25,82.39,84.86,73.71,76.16,698107.25,54385786.85
2015-08-26,76.16,82.89,70.01,77.82,499516.22,37963851.82
2015-08-27,77.82,81.21,74.3,76.34,331328.36,25623565.38
2015-08-28,76.34,82.48,74.42,77.85,222265.67,17139467.97
2015-08-29,77.85,82.77,75.68,78.41,190946.6,14892961.73
2015-08-30,78.41,95.37,76.98,88.25,649336.46,56160998.79
2015-08-31,88.25,96.26,79.39,90.4,683759.92,60521377.56
2015-09-01,90.4,95.28,88.45,89.34,363363.82,33061984.62
2015-09-02,89.34,93.2,83.37,86.38,399503.25,34892929.82
2015-09-03,86.38,90.5,78.84,82.89,361126.89,29778277.19
2015-09-04,82.89,90.98,81.5,85.84,233087.18,19868978.65
2015-09-05,85.84,92.63,84.18,88.77,158707.52,13984111.89
2015-09-06,88.77,95.41,86.06,86.53,177206.3,15691583.97
2015-09-07,86.53,91.81,82.36,83.18,246529.04,20989627.01
2015-09-08,83.18,89.39,81.41,82.77,177233.78,14765937.38
2015-09-09,82.77,86.34,80.19,81.04,179278.52,14801344.02
2015-09-10,81.04,84.7,75.61,77.35,306738.05,23983309.61
2015-09-11,77.35,81.26,60.35,67.79,1243225.63,83377308.32
2015-09-12,67.79,77.3,63.51,69.8,418353.94,29024706.7
2015-09-13,69.8,69.94,59.81,61.54,328709.26,21070530.78
2015-09-14,61.54,64.76,57.62,57.88,493755.14,29649899.97
2015-09-15,57.88,66.4,57.07,62.61,355432.58,22206353.38
2015-09-16,62.61,65.6,59.29,59.74,281186.8,17188442.52
2015-09-17,59.74,62.2,54.62,59.39,537090.77,30935335.87
2015-09-18,59.39,61.29,54.61,56.82,309397.38,17458397.15
2015-09-19,56.82,62.49,54.5,58.07,178969.52,10220143.18
2015-09-20,58.07,64.57,57.13,61.23,272824.8,16327192.03
2015-09-21,61.23,64.31,57.53,61.59,231914.34,14098417.92
2015-09-22,61.59,62.77,56.91,59.46,177390.5,10465923.04
2015-09-23,59.46,62.93,58.21,58.89,89972.37,5348591.24
2015-09-24,58.89,63.56,52.63,54.19,483160.34,26766105.62
2015-09-25,54.19,56.9,47.64,49.03,537615.02,27183250.37
2015-09-26,49.03,54.07,46.75,52.89,339763.29,16819845.16
2015-09-27,52.89,54.93,45.43,48.15,200834.84,9932899.51
2015-09-28,48.15,50.79,36.68,38.54,1398044.52,59183932.13
2015-09-29,38.54,45.68,36.51,42.81,776367.65,31925487.93
2015-09-30,42.81,50.41,41.52,48.78,544814.97,25104084.95
2015-10-01,48.78,49.8,42.96,44.44,342787.5,15729264.95
2015-10-02,44.44,47.74,42.46,44.87,214330.93,9489764.17
2015-10-03,44.87,48.39,44.16,44.92,111550.01,5104245.92
2015-10-04,44.92,47.94,42.86,44.15,89838.27,3960011.6
2015-10-05,44.15,46.04,40.96,41.16,172143.8,7374015.34
2015-10-06,41.16,43.75,39.07,42.57,258357.75,10532197.24
2015-10-07,42.57,44.72,38.97,40.15,197179.5,8044868.24
2015-10-08,40.15,43.27,38.41,42.75,299618.34,12000597.45
2015-10-09,42.75,46.88,38.23,42.12,278040.48,12047445.24
2015-10-10,42.12,44.76,40.31,41.89,103402.2,4298065.11
2015-10-11,41.89,43.93,39.99,43.62,99853.45,4080658.66
2015-10-12,43.62,43.91,38.62,40.97,74185.79,3088899.91
2015-10-13,40.97,42.85,38.73,40.26,311489.87,12386113.7
2015-10-14,40.26,42.56,31.44,34.82,1134783.97,39570020.66
2015-10-15,34.82,38.69,31.46,36.99,282564.15,10122532.9
2015-10-16,36.99,37.52,33.68,34.6,264819.69,9271833.47
2015-10-17,34.6,36.86,33.4,35.65,339461.27,11815522.43
2015-10-18,35.65,37.32,32.69,34.21,119332.5,4076351.88
2015-10-19,34.21,34.69,31.05,31.8,257905.97,8390364.29
2015-10-20,31.8,33.79,28.08,28.16,559077.27,17319140.55
2015-10-21,28.16,32.24,27.39,29.29,826539.84,24102194.04
2015-10-22,29.29,41.6,27.19,36.91,988449.07,33379640.63
2015-10-23,36.91,41.41,30.27,35.7,801443.97,29215726.43
2015-10-24,35.7,38.48,31.04,32.05,172796.96,6179677.96
2015-10-25,32.05,45.19,32.05,40.0,522980.72,21718665.77
2015-10-26,40.0,49.64,38.95,47.4,1072585.71,46685045.47
2015-10-27,47.4,59.51,46.13,56.95,1246676.53,66830900.63
2015-10-28,56.95,70.22,50.07,66.44,953760.38,60287074.74
2015-10-29,66.44,84.03,61.32,79.86,1136705.3,82719599.97
2015-10-30,79.86,97.15,61.79,66.97,942296.28,69134569.21
2015-10-31,66.97,68.33,56.32,59.52,399343.95,24956982.19
2015-11-01,59.52,71.35,57.21,69.06,294297.81,19218020.41
2015-11-02,69.06,74.24,62.43,66.07,652490.15,44350785.71
2015-11-03,66.07,73.74,61.29,66.64,1147748.63,75106176.47
2015-11-04,66.64,80.46,45.38,58.19,2272924.61,132150842.22
