Date,Open,High,Low,Close,Volume,Quote Volume
2020-04-10,65.4,100.69,52.04,71.96,35397611.72,2432244992.81
2020-04-11,71.96,80.48,58.34,60.03,6940798.43,483853274.06
2020-04-12,60.03,73.08,57.81,67.11,4854736.03,314381556.45
2020-04-13,67.11,67.18,58.9,59.24,2859063.4,176959466.78
2020-04-14,59.24,60.87,47.67,50.42,2603820.53,141902774.29
2020-04-15,50.42,53.95,47.0,48.52,1796074.2,90528035.27
2020-04-16,48.52,59.57,47.34,52.73,2935323.3,163729282.21
2020-04-17,52.73,54.9,50.1,50.1,829169.59,43126189.51
2020-04-18,50.1,55.03,50.1,51.66,831947.9,43794357.81
2020-04-19,51.66,51.71,45.29,46.11,1198712.39,57963329.91
2020-04-20,46.11,48.73,39.62,40.68,1126890.14,50039938.31
2020-04-21,40.68,45.75,38.69,44.19,882382.41,36967690.4
2020-04-22,44.19,54.35,43.52,52.71,1779465.52,86986277.92
2020-04-23,52.71,53.15,45.33,48.01,1397202.57,66691221.87
2020-04-24,48.01,50.72,46.33,47.65,825682.78,39885116.5
2020-04-25,47.65,50.89,47.08,49.11,609093.74,29766542.6
2020-04-26,49.11,52.21,47.95,48.64,627270.39,31224404.39
2020-04-27,48.64,49.85,42.56,43.29,700352.22,31730489.52
2020-04-28,43.29,53.06,42.94,49.96,1399046.97,68736505.23
2020-04-29,49.96,59.2,49.01,56.02,1399437.19,75593429.52
2020-04-30,56.02,60.63,51.18,52.03,781804.34,43620916.87
2020-05-01,52.03,55.76,51.54,54.87,458593.6,24659649.42
2020-05-02,54.87,56.69,53.24,53.94,300615.99,16430609.41
2020-05-03,53.94,55.08,49.49,51.36,440059.84,22787917.06
2020-05-04,51.36,53.21,46.67,50.68,568969.01,28193109.79
2020-05-05,50.68,51.97,47.35,49.23,274741.87,13621254.7
2020-05-06,49.23,50.87,46.71,47.03,274131.35,13601935.76
2020-05-07,47.03,48.13,43.44,46.52,423752.76,19323373.05
