Date,Open,High,Low,Close,Volume,Quote Volume
2015-01-17,0.99,0.99,0.99,0.99,222.49,219.88
2015-01-18,0.99,0.99,0.99,0.99,515.51,509.2
2015-01-19,0.99,0.99,0.99,0.99,200,197.33
2015-01-20,0.99,1.08,0.99,1.08,0.48,0.52
2015-01-21,1.08,1.08,1.02,1.02,100,101.81
2015-01-22,1.02,4.64,1.02,4.64,62.07,75.96
2015-01-23,4.64,4.64,1.04,3.01,207.67,583.79
2015-01-24,3.01,3.01,3.01,3.01,0,0
2015-01-25,3.01,3.01,1.03,1.04,18.45,19.18
2015-01-26,1.04,1.54,1.0,1.0,1886.56,1926.71
2015-01-27,1.0,1.54,0.96,0.98,11.77,12.41
2015-01-28,0.98,1.54,0.98,1.53,1.57,2.41
2015-01-29,1.53,1.54,0.88,0.88,176523.59,159140.04
2015-01-30,0.88,0.93,0.87,0.91,95405.06,86435.96
2015-01-31,0.91,0.94,0.86,0.88,436926.9,391299.47
2015-02-01,0.88,0.9,0.85,0.86,101483.9,89784.64
2015-02-02,0.86,0.88,0.81,0.85,196192.1,164415.69
2015-02-03,0.85,0.85,0.8,0.81,454916.39,371099.42
2015-02-04,0.81,0.88,0.81,0.83,314800.24,261417.6
2015-02-05,0.83,0.98,0.83,0.96,888070.11,787933.79
2015-02-06,0.96,1.02,0.88,0.88,363969.98,342771.89
2015-02-07,0.88,0.93,0.88,0.93,76980.58,69308.86
2015-02-08,0.93,0.93,0.84,0.9,250504.14,225612.72
2015-02-09,0.9,0.9,0.85,0.86,101752.39,88082.75
2015-02-10,0.86,0.86,0.82,0.85,175672.76,146005.65
2015-02-11,0.85,0.87,0.84,0.85,124794.0,106891.8
2015-02-12,0.85,0.89,0.85,0.88,118665.3,103634.31
2015-02-13,0.88,0.94,0.87,0.91,40734.91,36823.0
2015-02-14,0.91,0.95,0.88,0.92,194325.32,176970.0
2015-02-15,0.92,0.93,0.83,0.84,183283.5,159125.99
2015-02-16,0.84,0.87,0.83,0.86,114115.95,96909.22
2015-02-17,0.86,0.88,0.85,0.87,25461.43,22139.37
2015-02-18,0.87,0.88,0.85,0.85,25727.25,22147.22
2015-02-19,0.85,0.87,0.84,0.85,18335.54,15785.39
2015-02-20,0.85,0.87,0.82,0.83,135597.64,114309.36
2015-02-21,0.83,0.84,0.82,0.84,60457.91,49962.22
2015-02-22,0.84,0.84,0.8,0.82,63705.96,52256.37
2015-02-23,0.82,0.85,0.81,0.84,29789.06,24847.8
2015-02-24,0.84,0.84,0.79,0.81,225282.71,183335.95
2015-02-25,0.81,0.83,0.8,0.81,371078.38,302102.04
2015-02-26,0.81,0.83,0.8,0.81,3486538.09,2800651.62
2015-02-27,0.81,0.86,0.78,0.82,2579676.65,2086416.39
2015-02-28,0.82,0.83,0.77,0.77,2986811.35,2368114.22
2015-03-01,0.77,0.8,0.68,0.73,385044.03,281921.59
2015-03-02,0.73,0.77,0.72,0.73,579447.47,427060.23
2015-03-03,0.73,0.74,0.51,0.55,1244968.85,779786.06
2015-03-04,0.55,0.67,0.53,0.65,1125651.08,711116.51
2015-03-05,0.65,0.76,0.65,0.71,798142.44,573449.66
2015-03-06,0.71,0.74,0.64,0.66,357663.42,237737.38
2015-03-07,0.66,0.7,0.62,0.65,221347.73,146643.69
2015-03-08,0.65,0.66,0.62,0.64,385503.34,241077.78
2015-03-09,0.64,0.69,0.63,0.65,537000.42,356217.84
2015-03-10,0.65,0.67,0.62,0.63,376565.97,238872.81
2015-03-11,0.63,0.66,0.63,0.65,507276.59,325556.02
2015-03-12,0.65,0.67,0.62,0.66,481369.22,311460.18
2015-03-13,0.66,0.68,0.64,0.66,233629.09,154174.01
2015-03-14,0.66,0.73,0.65,0.7,591841.85,414091.38
2015-03-15,0.7,0.73,0.66,0.68,297052.98,205024.48
2015-03-16,0.68,0.72,0.64,0.69,295319.27,202525.68
2015-03-17,0.69,0.71,0.59,0.68,325186.05,218919.95
2015-03-18,0.68,0.71,0.62,0.63,443663.97,295269.24
2015-03-19,0.63,0.66,0.6,0.63,733615.46,466960.24
2015-03-20,0.63,0.65,0.62,0.63,105176.28,66729.78
2015-03-21,0.63,0.65,0.6,0.61,148747.0,93305.77
2015-03-22,0.61,0.64,0.61,0.63,27960.24,17442.64
2015-03-23,0.63,0.63,0.6,0.6,130907.89,81055.16
2015-03-24,0.6,0.61,0.57,0.57,107191.03,63376.06
2015-03-25,0.57,0.58,0.54,0.55,152864.71,84510.48
2015-03-26,0.55,0.56,0.53,0.54,46061.65,25307.0
2015-03-27,0.54,0.55,0.53,0.54,183471.07,99602.28
2015-03-28,0.54,0.56,0.54,0.55,333965.17,184146.52
2015-03-29,0.55,0.56,0.51,0.52,3373008.85,1745147.44
2015-03-30,0.52,0.54,0.51,0.51,2751023.81,1423433.16
2015-03-31,0.51,0.51,0.47,0.48,1076790.94,529761.8
2015-04-01,0.48,0.5,0.47,0.48,161378.12,77595.33
2015-04-02,0.48,0.52,0.48,0.5,293772.19,144954.75
2015-04-03,0.5,0.6,0.49,0.54,1151688.75,631079.84
2015-04-04,0.54,0.55,0.52,0.53,997652.77,532291.03
2015-04-05,0.53,0.54,0.53,0.54,294807.74,158817.33
2015-04-06,0.54,0.59,0.53,0.55,399330.55,220393.94
2015-04-07,0.55,0.58,0.55,0.57,98535.08,55756.16
2015-04-08,0.57,0.58,0.55,0.56,77101.89,43781.3
2015-04-09,0.56,0.58,0.53,0.54,58654.96,32069.56
2015-04-10,0.54,0.54,0.51,0.53,7774.29,4140.24
2015-04-11,0.53,0.54,0.38,0.5,581057.89,283152.09
2015-04-12,0.5,0.52,0.5,0.51,15473.49,7882.63
2015-04-13,0.51,0.52,0.48,0.5,61697.81,31091.32
2015-04-14,0.5,0.5,0.47,0.49,455169.58,218923.37
2015-04-15,0.49,0.49,0.46,0.49,619569.65,292354.75
2015-04-16,0.49,0.5,0.46,0.49,347467.99,169352.8
2015-04-17,0.49,0.5,0.48,0.49,67717.54,33306.39
2015-04-18,0.49,0.49,0.48,0.49,21373.18,10468.09
2015-04-19,0.49,0.49,0.48,0.49,104384.45,51442.44
2015-04-20,0.49,0.51,0.48,0.49,61419.57,31003.47
2015-04-21,0.49,0.51,0.49,0.51,162185.59,80752.71
2015-04-22,0.51,0.52,0.5,0.5,146870.13,74673.78
2015-04-23,0.5,0.51,0.5,0.5,158627.06,80098.44
2015-04-24,0.5,0.51,0.49,0.49,65562.36,32511.15
2015-04-25,0.49,0.51,0.49,0.5,256836.28,129979.95
2015-04-26,0.5,0.5,0.48,0.49,53025.96,26050.88
2015-04-27,0.49,0.5,0.48,0.49,82989.49,40615.55
2015-04-28,0.49,0.49,0.44,0.48,260978.22,122228.11
2015-04-29,0.48,0.52,0.48,0.5,665584.81,334493.11
2015-04-30,0.5,0.52,0.5,0.52,578458.55,297051.15
2015-05-01,0.52,0.52,0.51,0.52,139196.81,71523.56
2015-05-02,0.52,0.52,0.51,0.51,84605.74,43425.07
2015-05-03,0.51,0.53,0.51,0.51,125415.55,65208.13
2015-05-04,0.51,0.52,0.5,0.52,223961.88,115284.83
2015-05-05,0.52,0.53,0.48,0.49,2350471.47,1160745.59
2015-05-06,0.49,0.52,0.48,0.48,471434.22,232624.06
2015-05-07,0.48,0.49,0.46,0.48,239184.08,115175.98
2015-05-08,0.48,0.49,0.46,0.47,1244033.08,595952.33
2015-05-09,0.47,0.49,0.47,0.48,2894341.81,1360148.36
2015-05-10,0.48,0.48,0.45,0.47,1310028.33,615245.81
2015-05-11,0.47,0.47,0.46,0.47,1268458.93,594988.37
2015-05-12,0.47,0.48,0.45,0.45,409824.45,187095.77
2015-05-13,0.45,0.47,0.41,0.43,412539.26,183954.17
2015-05-14,0.43,0.43,0.41,0.42,504195.21,211626.55
2015-05-15,0.42,0.43,0.42,0.42,281829.53,119036.37
2015-05-16,0.42,0.42,0.41,0.41,89872.85,37442.16
2015-05-17,0.41,0.42,0.39,0.4,108058.88,43904.28
2015-05-18,0.4,0.4,0.32,0.34,4716205.11,1740597.66
2015-05-19,0.34,0.5,0.34,0.42,2655577.08,1052285.35
2015-05-20,0.42,0.44,0.39,0.4,4242243.16,1737079.81
2015-05-21,0.4,0.42,0.4,0.41,369987.04,151081.41
2015-05-22,0.41,0.43,0.41,0.43,177794.38,74933.24
2015-05-23,0.43,0.45,0.42,0.43,617565.98,266742.62
2015-05-24,0.43,0.44,0.43,0.43,476805.31,208081.44
2015-05-25,0.43,0.45,0.43,0.43,514553.08,224712.08
2015-05-26,0.43,0.45,0.43,0.43,176151.69,76742.5
2015-05-27,0.43,0.46,0.42,0.43,327290.58,144271.36
2015-05-28,0.43,0.52,0.43,0.5,652218.34,312141.03
2015-05-29,0.5,0.62,0.5,0.59,1010744.32,564187.66
2015-05-30,0.59,0.6,0.51,0.52,940938.84,486222.13
2015-05-31,0.52,0.53,0.51,0.53,411152.99,213660.59
2015-06-01,0.53,0.53,0.46,0.47,605585.68,291997.55
2015-06-02,0.47,0.52,0.46,0.52,484313.04,233843.17
2015-06-03,0.52,0.53,0.48,0.51,381823.72,197163.11
2015-06-04,0.51,0.51,0.48,0.49,555300.66,274089.01
2015-06-05,0.49,0.51,0.49,0.5,55307.48,27879.46
2015-06-06,0.5,0.51,0.5,0.5,18042.93,9046.32
2015-06-07,0.5,0.51,0.5,0.5,9614.75,4868.98
2015-06-08,0.5,0.51,0.49,0.51,68409.57,34598.45
2015-06-09,0.51,0.52,0.5,0.51,213504.5,110050.85
2015-06-10,0.51,0.52,0.5,0.51,457395.09,235022.19
2015-06-11,0.51,0.52,0.5,0.51,37478.61,19139.63
2015-06-12,0.51,0.51,0.5,0.51,126851.96,63962.73
2015-06-13,0.51,0.52,0.5,0.52,24737.88,12726.83
2015-06-14,0.52,0.53,0.51,0.52,121959.22,63199.06
2015-06-15,0.52,0.57,0.51,0.56,278780.76,152241.56
2015-06-16,0.56,0.63,0.56,0.59,712998.49,421004.78
2015-06-17,0.59,0.64,0.59,0.63,415652.22,253974.5
2015-06-18,0.63,0.67,0.61,0.65,632616.07,403168.04
2015-06-19,0.65,0.74,0.65,0.72,590111.11,416928.57
2015-06-20,0.72,0.72,0.67,0.69,512217.82,354302.71
2015-06-21,0.69,0.69,0.62,0.64,232220.95,151676.47
2015-06-22,0.64,0.67,0.63,0.67,454669.86,296946.54
2015-06-23,0.67,0.71,0.64,0.67,327847.97,222357.61
2015-06-24,0.67,1.24,0.66,0.69,365627.88,252621.43
2015-06-25,0.69,0.74,0.69,0.7,115265.15,80268.72
2015-06-26,0.7,0.76,0.68,0.73,1052865.29,756521.41
2015-06-27,0.73,0.76,0.71,0.73,154202.0,113989.02
2015-06-28,0.73,0.74,0.7,0.74,106093.92,75739.21
2015-06-29,0.74,0.76,0.73,0.74,280786.22,209706.55
2015-06-30,0.74,0.75,0.67,0.68,450789.31,323885.76
2015-07-01,0.68,0.71,0.68,0.69,541881.92,374410.25
2015-07-02,0.69,0.7,0.68,0.68,253044.88,173659.34
2015-07-03,0.68,0.7,0.68,0.69,85300.62,58538.37
2015-07-04,0.69,0.71,0.66,0.66,109797.3,75010.06
2015-07-05,0.66,0.67,0.6,0.62,854607.37,534743.78
2015-07-06,0.62,0.65,0.58,0.6,772646.29,484526.14
2015-07-07,0.6,0.62,0.57,0.59,974932.23,570618.48
2015-07-08,0.59,0.61,0.56,0.56,2118298.87,1228445.27
2015-07-09,0.56,0.59,0.53,0.54,1847221.89,1024001.6
2015-07-10,0.54,0.6,0.52,0.54,2139632.82,1173053.14
2015-07-11,0.54,0.55,0.52,0.54,1522728.5,819151.5
2015-07-12,0.54,0.56,0.53,0.55,272322.52,148216.27
2015-07-13,0.55,0.56,0.51,0.54,332202.82,178712.18
2015-07-14,0.54,0.55,0.52,0.53,2431221.71,1279709.31
2015-07-15,0.53,0.56,0.53,0.53,1644511.12,887930.58
2015-07-16,0.53,0.54,0.5,0.51,1139629.39,594446.36
2015-07-17,0.51,0.52,0.5,0.51,515608.95,262680.15
2015-07-18,0.51,0.52,0.51,0.51,121120.61,61769.65
2015-07-19,0.51,0.53,0.51,0.51,769708.24,397002.24
2015-07-20,0.51,0.53,0.5,0.51,390808.48,202295.52
2015-07-21,0.51,0.51,0.48,0.49,3053033.47,1505992.7
2015-07-22,0.49,0.5,0.48,0.49,453273.87,221727.77
