Date,Open,High,Low,Close,Volume,Quote Volume
2020-09-08 10:00,656.92,663.35,656.0,657.27,3965.7,2612099.73
2020-09-08 11:00,657.27,663.09,656.17,656.38,3926.33,2586695.91
2020-09-08 12:00,656.38,663.55,656.38,659.58,3093.11,2038654.75
2020-09-08 13:00,659.58,663.29,656.2,659.3,2764.56,1821707.02
2020-09-08 14:00,659.3,663.53,656.22,656.86,4399.2,2899199.05
2020-09-08 15:00,656.86,663.44,656.2,657.42,3186.97,2100270.16
2020-09-08 16:00,657.42,663.55,656.2,660.48,1593.35,1050220.06
2020-09-08 17:00,660.48,663.41,656.25,659.98,936.72,617281.42
2020-09-08 18:00,659.98,663.29,656.23,659.13,1072.38,706518.44
2020-09-08 19:00,659.13,663.34,656.18,659.24,2818.23,1856439.46
2020-09-08 20:00,659.24,663.54,656.18,657.22,1613.95,1063216.55
2020-09-08 21:00,657.22,663.46,656.15,658.86,957.21,630682.23
2020-09-08 22:00,658.86,662.93,655.2,656.66,2349.58,1547596.41
2020-09-08 23:00,656.66,663.54,656.17,661.99,4884.16,3217479.82
2020-09-09 00:00,661.99,662.56,651.93,655.65,1987.99,1300817.05
2020-09-09 01:00,655.65,659.02,651.93,654.75,1330.27,870689.52
2020-09-09 02:00,654.75,659.15,651.95,652.64,1086.89,711399.59
2020-09-09 03:00,652.64,658.24,651.87,652.61,1725.99,1129435.9
2020-09-09 04:00,652.61,659.23,652.1,652.59,1289.57,844349.37
2020-09-09 05:00,652.59,658.84,651.93,653.83,1371.75,897532.53
2020-09-09 06:00,653.83,657.73,651.91,653.78,1397.97,914940.52
2020-09-09 07:00,653.78,659.15,651.94,652.91,1152.43,754483.12
2020-09-09 08:00,652.91,659.04,651.93,651.93,2840.63,1859278.81
2020-09-09 09:00,651.93,658.22,651.93,652.58,1889.06,1236417.6
2020-09-09 10:00,652.58,652.85,651.93,651.93,2332.87,1521931.35
2020-09-09 11:00,651.93,656.56,651.93,652.69,1764.79,1152940.25
2020-09-09 12:00,652.69,655.68,651.93,654.68,2093.38,1367871.0
2020-09-09 13:00,654.68,655.71,651.87,652.88,1747.69,1141955.72
2020-09-09 14:00,652.88,655.72,652.59,653.79,2766.83,1808658.64
2020-09-09 15:00,653.79,658.89,629.51,629.51,1780.18,1163098.76
2020-09-09 16:00,629.51,659.22,629.51,658.76,2166.21,1425762.42
2020-09-09 17:00,658.76,659.21,657.8,658.04,1569.03,1032910.13
2020-09-09 18:00,658.04,659.12,657.62,657.89,978.92,644430.86
2020-09-09 19:00,657.89,659.15,657.35,657.86,2035.09,1339714.33
2020-09-09 20:00,657.86,659.23,657.31,658.05,1049.34,690694.25
2020-09-09 21:00,658.05,659.13,530.31,538.3,697.59,449373.25
2020-09-09 22:00,538.3,545.55,537.52,538.47,1641.02,887383.02
2020-09-09 23:00,538.47,543.51,537.46,540.16,1982.66,1070468.37
2020-09-10 00:00,540.16,565.1,537.82,545.34,2050.5,1113891.95
2020-09-10 01:00,545.34,550.99,539.26,546.72,1953.11,1062114.56
2020-09-10 02:00,546.72,547.92,423.27,456.13,6771.34,2958467.87
2020-09-10 03:00,456.13,457.61,434.22,438.45,4504.38,1956987.41
2020-09-10 04:00,438.45,441.91,434.17,438.29,4126.14,1792950.13
2020-09-10 05:00,438.29,441.66,433.9,433.91,4941.62,2133845.39
