Date,Open,High,Low,Close,Volume,Quote Volume
2020-04-10 00:00,65.4,65.63,65.4,65.63,0,0
2020-04-10 01:00,65.63,65.63,65.63,65.63,0,0
2020-04-10 02:00,65.63,65.63,65.63,65.63,0,0
2020-04-10 03:00,65.63,65.63,65.63,65.63,0,0
2020-04-10 04:00,65.63,72.78,52.6,63.5,9974500.74,600224050.62
2020-04-10 05:00,63.5,66.55,60.37,61.51,4914111.51,312223699.84
2020-04-10 06:00,61.51,63.94,54.62,54.76,2409749.89,144310116.96
2020-04-10 07:00,54.76,60.67,52.22,59.41,2146618.6,121010861.4
2020-04-10 08:00,59.41,60.18,57.61,59.13,995318.11,58766831.74
2020-04-10 09:00,59.13,59.3,56.48,59.05,815250.11,47513365.95
2020-04-10 10:00,59.05,64.79,58.9,64.79,1068147.98,65723251.91
2020-04-10 11:00,64.79,71.72,62.47,70.94,1163433.17,78804661.22
2020-04-10 12:00,70.94,79.69,70.41,75.47,1798357.38,136170522.66
2020-04-10 13:00,75.47,82.7,73.85,81.23,919018.82,71889113.56
2020-04-10 14:00,81.23,100.69,79.79,91.28,3012495.17,274416658.56
2020-04-10 15:00,91.28,95.02,85.17,93.43,1584529.14,144221647.33
2020-04-10 16:00,93.43,93.43,79.19,81.1,1092449.32,92936356.52
2020-04-10 17:00,81.1,81.1,76.41,78.58,738672.63,58325315.36
2020-04-10 18:00,78.58,90.36,78.58,86.1,818017.72,70029144.49
2020-04-10 19:00,86.1,89.36,84.65,85.27,371311.1,32194869.57
2020-04-10 20:00,85.27,86.93,80.5,86.93,292115.29,24372217.95
2020-04-10 21:00,86.93,86.93,83.14,83.84,314379.02,26729075.95
2020-04-10 22:00,83.84,85.95,73.73,76.03,391609.79,30790459.0
2020-04-10 23:00,76.03,76.76,69.33,71.96,577526.23,41592772.21
2020-04-11 00:00,71.96,74.62,63.8,69.27,598690.1,41368487.35
2020-04-11 01:00,69.27,73.76,65.33,73.76,351554.71,24390302.44
2020-04-11 02:00,73.76,80.48,70.73,78.84,492250.17,37108002.2
2020-04-11 03:00,78.84,79.86,75.4,78.49,395464.39,30638696.79
2020-04-11 04:00,78.49,79.91,70.86,72.43,364984.79,27266888.35
2020-04-11 05:00,72.43,72.43,66.95,68.08,260765.78,17994471.65
2020-04-11 06:00,68.08,72.37,65.54,72.37,325980.25,22212038.7
2020-04-11 07:00,72.37,77.85,70.01,76.52,499345.36,37306521.5
2020-04-11 08:00,76.52,76.57,72.1,75.29,350705.42,25941436.37
2020-04-11 09:00,75.29,75.29,72.68,73.28,169001.79,12531910.43
2020-04-11 10:00,73.28,74.79,69.6,69.63,250721.37,17968811.25
2020-04-11 11:00,69.63,71.7,67.61,71.69,302797.21,21207502.22
2020-04-11 12:00,71.69,71.69,67.86,68.61,211943.2,14726023.71
2020-04-11 13:00,68.61,70.19,66.89,69.11,283009.91,19328752.64
2020-04-11 14:00,69.11,72.25,67.49,71.33,271859.88,19031727.54
2020-04-11 15:00,71.33,71.33,67.86,67.86,182954.74,12722279.28
2020-04-11 16:00,67.86,70.06,66.84,67.76,173955.32,11907855.88
2020-04-11 17:00,67.76,68.22,66.39,66.87,116123.29,7787698.65
2020-04-11 18:00,66.87,67.85,64.86,65.39,165809.31,10982287.66
2020-04-11 19:00,65.39,65.61,60.73,60.77,266277.52,16686262.7
2020-04-11 20:00,60.77,61.63,58.34,60.19,313307.45,18803987.17
2020-04-11 21:00,60.19,61.22,58.74,61.11,174239.46,10436709.16
2020-04-11 22:00,61.11,63.48,60.23,61.43,218949.54,13585243.34
2020-04-11 23:00,61.43,61.43,58.49,60.03,200107.47,11919377.08
2020-04-12 00:00,60.03,61.22,57.81,58.25,147496.74,8667061.41
2020-04-12 01:00,58.25,61.73,58.25,60.21,202071.88,12183202.43
2020-04-12 02:00,60.21,60.38,58.1,58.1,88640.92,5211246.3
2020-04-12 03:00,58.1,64.33,58.1,64.33,266864.93,16331376.82
2020-04-12 04:00,64.33,68.13,62.75,67.4,339676.83,22078397.91
2020-04-12 05:00,67.4,67.4,63.49,64.83,242064.52,15696710.04
2020-04-12 06:00,64.83,65.69,63.84,64.4,82246.33,5304222.52
2020-04-12 07:00,64.4,66.65,64.21,65.06,100265.86,6569657.15
2020-04-12 08:00,65.06,65.4,61.42,62.39,172644.02,10922598.45
2020-04-12 09:00,62.39,62.96,60.26,60.87,181837.28,11094155.79
2020-04-12 10:00,60.87,61.6,59.46,60.3,130151.94,7856737.71
2020-04-12 11:00,60.3,61.65,59.41,60.67,109700.09,6638824.24
2020-04-12 12:00,60.67,61.56,59.72,60.01,176861.37,10754339.0
2020-04-12 13:00,60.01,61.17,59.32,60.94,99784.22,6014376.88
2020-04-12 14:00,60.94,64.61,60.72,61.69,261600,16445050.72
2020-04-12 15:00,61.69,63.94,61.36,63.71,172233.53,10764947.62
2020-04-12 16:00,63.71,63.78,61.97,63.7,153765.49,9705991.7
2020-04-12 17:00,63.7,64.17,61.93,63.24,212466.85,13377139.91
2020-04-12 18:00,63.24,69.02,62.6,68.76,328863.74,22017434.89
2020-04-12 19:00,68.76,69.3,66.55,66.64,229338.09,15596312.81
2020-04-12 20:00,66.64,68.85,66.2,68.22,156893.3,10582955.01
2020-04-12 21:00,68.22,73.08,67.33,71.21,433193.7,30967517.64
2020-04-12 22:00,71.21,72.63,69.01,71.68,258084.39,18285999.14
2020-04-12 23:00,71.68,72.03,66.72,67.11,307990.01,21315300.37
2020-04-13 00:00,67.11,67.18,61.09,63.26,421481.02,26940745.01
2020-04-13 01:00,63.26,63.59,61.57,63.59,164168.7,10278818.75
2020-04-13 02:00,63.59,63.59,61.68,63.32,78889.61,4918231.74
2020-04-13 03:00,63.32,63.54,61.58,61.69,75080.56,4685813.79
2020-04-13 04:00,61.69,61.69,59.04,60.35,236597.8,14166583.85
2020-04-13 05:00,60.35,60.71,59.41,59.61,92598.95,5547088.46
2020-04-13 06:00,59.61,61.24,59.41,61.16,59314.16,3582104.47
2020-04-13 07:00,61.16,62.78,60.15,60.23,114710.91,7054982.21
2020-04-13 08:00,60.23,61.44,60.07,60.81,51637.16,3144011.02
2020-04-13 09:00,60.81,63.33,60.81,62.82,174519.63,10913258.99
2020-04-13 10:00,62.82,63.93,62.03,63.22,164060.23,10333491.38
2020-04-13 11:00,63.22,64.16,62.77,63.41,109233.3,6942184.1
2020-04-13 12:00,63.41,63.41,60.0,60.84,212460.58,12964378.81
2020-04-13 13:00,60.84,60.96,59.34,59.34,75509.43,4538299.44
2020-04-13 14:00,59.34,62.03,59.34,60.54,96913.48,5895227.96
2020-04-13 15:00,60.54,63.53,59.93,63.22,172880.18,10698339.24
2020-04-13 16:00,63.22,63.96,62.1,62.47,121165.63,7645707.06
2020-04-13 17:00,62.47,63.33,61.38,61.81,70623.99,4382778.57
2020-04-13 18:00,61.81,62.44,61.27,61.29,54095.94,3337158.54
2020-04-13 19:00,61.29,62.07,61.28,61.4,45011.31,2765547.84
2020-04-13 20:00,61.4,62.05,60.73,61.13,68127.66,4182040.07
2020-04-13 21:00,61.13,61.43,60.61,60.78,46719.6,2851078.8
2020-04-13 22:00,60.78,61.25,60.14,60.46,64242.2,3886314.69
2020-04-13 23:00,60.46,61.0,58.97,59.24,89021.37,5305282.0
2020-04-14 00:00,59.24,59.94,58.36,58.72,87150.73,5137365.63
2020-04-14 01:00,58.72,59.91,58.72,59.39,70460.37,4178429.0
2020-04-14 02:00,59.39,60.64,58.93,59.0,73359.32,4363037.04
2020-04-14 03:00,59.0,59.5,58.69,58.98,89050.12,5255872.57
2020-04-14 04:00,58.98,59.68,58.98,59.14,52256.71,3093439.11
2020-04-14 05:00,59.14,59.4,58.83,58.89,78876.99,4647451.12
